Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,CZE,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.6,99.9,99.9,99.9,99.8,,,,
Germany,DEU,Births attended by skilled health staff (% of total),98.6,98.6,98.6,98.6,98.2,98.2,98.4,98.4,98.5,98.3,98.3,98.3,98.5,98.5,98.5,98.7,,
Djibouti,DJI,Births attended by skilled health staff (% of total),,,,60.6,,,78.4,,,,,,87.4,,,,,
Dominica,DMA,Births attended by skilled health staff (% of total),100,100,100,100,100,99,,94,100,100,,100,100,100,100,96,96,
Denmark,DNK,Births attended by skilled health staff (% of total),98.8,98.9,98.8,98.9,98.6,98.8,98.7,97.8,,98.7,98.5,98.5,98.2,96.3,95.9,95.4,94.4,
Dominican Republic,DOM,Births attended by skilled health staff (% of total),97.6,,97.8,,,,95.5,97.8,,,96.9,98.7,98.8,98.6,97.6,99.6,,
Algeria,DZA,Births attended by skilled health staff (% of total),92,,95.9,,,,95.2,,,,,,96.6,96.6,,,,
East Asia & Pacific (excluding high income),EAP,Births attended by skilled health staff (% of total),84.16742034,,,,,,,,,,,,,,95.19456601,,,
Ecuador,ECU,Births attended by skilled health staff (% of total),,,,,78.6,80,82.6,84.1,85.8,87.7,89.2,91.1,93.1,94.7,96.3,95,96.7,
"Egypt, Arab Rep.",EGY,Births attended by skilled health staff (% of total),60.9,,,69.4,,74.2,,,78.9,,,,,,91.5,,,
Euro area,EMU,Births attended by skilled health staff (% of total),99.34790189,,,,,,,,,,,,,,98.59846999,,,
Eritrea,ERI,Births attended by skilled health staff (% of total),,,28.3,,,,,,,,34.1,,,,,,,
Spain,ESP,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Estonia,EST,Births attended by skilled health staff (% of total),99.7,99.7,99.6,99.7,99.8,99.8,99.8,99.4,99.3,99.2,99.3,99.4,99.3,99.4,99.4,99.5,99.4,
Ethiopia,ETH,Births attended by skilled health staff (% of total),5.6,,,,6.4,5.7,,,,,,10,,23.1,15.5,,27.7,
European Union,EUU,Births attended by skilled health staff (% of total),99.33485155,,,,,,,,,,,,,,98.55686972,,,
Finland,FIN,Births attended by skilled health staff (% of total),98.4,98.5,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.8,,99.7,99.9,,
Fiji,FJI,Births attended by skilled health staff (% of total),99,98.4,96.9,96.7,97,97.2,99.3,99,98.8,99.8,99.7,99.6,99.3,99.7,99.7,99.9,,
France,FRA,Births attended by skilled health staff (% of total),,99.6,,,98,97.9,98.3,98.1,98,97.9,97.5,96.2,97.1,98.3,98.3,97.7,97.4,
Faroe Islands,FRO,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Births attended by skilled health staff (% of total),88.88,85.7,81.6,84.6,,82.7,88,,90,100,,,,,,,,
Gabon,GAB,Births attended by skilled health staff (% of total),85.5,,,,,,,,,,,,89.3,,,,,
United Kingdom,GBR,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Georgia,GEO,Births attended by skilled health staff (% of total),95.5,96.6,97.4,97.2,97.5,98.5,98.8,99.4,99.6,99.9,99.6,99.8,99.8,99.9,99.9,99.9,,
Ghana,GHA,Births attended by skilled health staff (% of total),,,,47.1,,,49.7,55.2,54.7,,,67.2,,,70.8,,,
Gibraltar,GIB,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Guinea,GIN,Births attended by skilled health staff (% of total),,,,48.7,,38,,46.1,,,,,45.3,,,,62.7,
"Gambia, The",GMB,Births attended by skilled health staff (% of total),51.6,,,,,,52.1,,,,56.1,,,57.2,,,,
Guinea-Bissau,GNB,Births attended by skilled health staff (% of total),31.8,,,,,,31,,,,43,,,,45,,,
Equatorial Guinea,GNQ,Births attended by skilled health staff (% of total),64.6,,,,,,,,,,,68.3,,,,,,
Greece,GRC,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Grenada,GRD,Births attended by skilled health staff (% of total),100,,100,100,,100,,98.8,,100,,100,99,99,99,,99.3,
Greenland,GRL,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Guatemala,GTM,Births attended by skilled health staff (% of total),,,41.4,,,,,,,51.5,52.3,,,62.8,,65.5,,
Guam,GUM,Births attended by skilled health staff (% of total),,99.4,,,,,,,,,,,,,,,,
Guyana,GUY,Births attended by skilled health staff (% of total),82.9,93.8,,94,95.9,96.7,96.6,80.9,96,87.4,,,,,85.7,,,
"Hong Kong SAR, China",HKG,Births attended by skilled health staff (% of total),,,,,,100,,,,,,,,,,,,
Honduras,HND,Births attended by skilled health staff (% of total),,55.7,,,,,66.3,,,,,,82.8,,,,,
Croatia,HRV,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,
Haiti,HTI,Births attended by skilled health staff (% of total),23.8,,,,,,26.1,,,,,,37.3,48.6,,,,41.6
Hungary,HUN,Births attended by skilled health staff (% of total),99.5,99.6,99.6,99.6,99.6,99.6,99.7,99.6,99.5,99.6,99.1,99,99,99.1,99.2,,,
Indonesia,IDN,Births attended by skilled health staff (% of total),66.9,,68.4,66.3,71.5,,,73,74.86,,82.2,,83.1,87.4,,,92.59,
Isle of Man,IMN,Births attended by skilled health staff (% of total),71.50205407,,,,,,,,,,81.43067708,,,,,,,
India,IND,Births attended by skilled health staff (% of total),42.5,,,,,,46.6,,52.3,,,,,,81.1,,81.4,
Ireland,IRL,Births attended by skilled health staff (% of total),99.6,99.6,99.5,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.7,99.7,,
"Iran, Islamic Rep.",IRN,Births attended by skilled health staff (% of total),89.6,,,,,97.3,,,,97.7,96.4,98.5,98.8,98.8,99,,,
Iraq,IRQ,Births attended by skilled health staff (% of total),65.2,,,,,,88.5,79.7,,,,90.9,70.4,,,,,
Iceland,ISL,Births attended by skilled health staff (% of total),99.3,99.5,99.4,99.4,99.4,99,98.9,98.9,98.7,98.8,98.2,97.9,97.8,98.1,97.8,98.2,97.9,
Israel,ISR,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Italy,ITA,Births attended by skilled health staff (% of total),99.8,,99.6,99.6,99.8,99.8,99.8,99.6,99.8,99.8,99.9,99.9,,99.9,99.9,,,
Jamaica,JAM,Births attended by skilled health staff (% of total),95.9,98.5,96.9,97.4,,96.7,94.5,,98.3,98.3,,99.1,,,,,,
Jordan,JOR,Births attended by skilled health staff (% of total),,,99.5,,,,,99.1,,,,,99.6,,,,,
Japan,JPN,Births attended by skilled health staff (% of total),99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,,99.8,99.9,,
Kazakhstan,KAZ,Births attended by skilled health staff (% of total),98.3,98.5,98.9,99.4,99.4,99.4,99.8,99.5,99.8,99.4,100,99.9,99.99,99.99,99.99,99.4,,
Kenya,KEN,Births attended by skilled health staff (% of total),42.6,,,41.6,,,,,,43.8,,,,,61.8,,,
Kyrgyz Republic,KGZ,Births attended by skilled health staff (% of total),98.6,98.7,98.8,98.9,98.2,97.9,97.6,98.4,98.5,98.5,98.3,98.6,99.1,99,98.4,,,
Cambodia,KHM,Births attended by skilled health staff (% of total),31.8,,,,16.3,43.8,,,,,71,71.7,74,,89,,,
Kiribati,KIR,Births attended by skilled health staff (% of total),85,,76,,,89.7,,,65,79.8,98.3,,,,,,,
St. Kitts and Nevis,KNA,Births attended by skilled health staff (% of total),99.4,,99.5,,100,100,,100,100,100,100,100,100,100,100,,,
"Korea, Rep.",KOR,Births attended by skilled health staff (% of total),99.9,,,99.9,,,,,,99.9,,,99.8,,,100,,
Kuwait,KWT,Births attended by skilled health staff (% of total),,,100,,98.3,98.6,98.7,98.7,98.7,98.7,98.6,98.8,98.8,98.7,98.7,99.9,,
,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Births attended by skilled health staff (% of total),16.7,19.4,,,,14.6,18.9,,,,37,,40.1,,,,,
Lebanon,LBN,Births attended by skilled health staff (% of total),99.9,,,,98.2,,,,,,,,,,,,,
Liberia,LBR,Births attended by skilled health staff (% of total),50.9,,,,,,,46.3,,,,,,61.1,,,,
Libya,LBY,Births attended by skilled health staff (% of total),,,,,,,,98.3,99.8,,99.9,99.9,99.9,99.9,,,,
St. Lucia,LCA,Births attended by skilled health staff (% of total),100,,98,99,100,100,97.9,100,100,,98.5,,98.7,,,,,
Liechtenstein,LIE,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Births attended by skilled health staff (% of total),96,,,,,,,98.6,,,,,,,99.95,,,
Lesotho,LSO,Births attended by skilled health staff (% of total),48.1,,,,55.4,,,,,61.5,,,,,77.9,,,
Lithuania,LTU,Births attended by skilled health staff (% of total),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Luxembourg,LUX,Births attended by skilled health staff (% of total),,,99.9,99.9,,,,,,99.9,,,,,,,,
Latvia,LVA,Births attended by skilled health staff (% of total),100,99,100,99,100,100,100,99.4,99.1,98.9,98.8,98.6,98.6,98.4,98.1,99.9,99.9,
"Macao SAR, China",MAC,Births attended by skilled health staff (% of total),,,,,100,,,,,,,,,,,,,
St. Martin (French part),MAF,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Morocco,MAR,Births attended by skilled health staff (% of total),,,,,62.6,,,,,,74.1,73.6,,,,,,
Monaco,MCO,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Moldova,MDA,Births attended by skilled health staff (% of total),98,99,99.6,99.4,99.3,99.5,99.6,99.6,99.5,99.7,99.2,99.4,99.2,99.8,99.7,,,
Madagascar,MDG,Births attended by skilled health staff (% of total),47,,,,51.3,,,,,43.9,,,,44.3,,,,
Maldives,MDV,Births attended by skilled health staff (% of total),,70.3,,,85.2,91.6,94.2,96.3,98.3,94.8,98.2,98.8,95.5,95.6,95.6,,,99.5
Mexico,MEX,Births attended by skilled health staff (% of total),88.6,,,95,,,93.4,93.7,,95.3,94.08,,99.6,,95.6,97.7,,
Marshall Islands,MHL,Births attended by skilled health staff (% of total),,,95,,,,,86.2,,86.5,99,90.1,,,,,,
North Macedonia,MKD,Births attended by skilled health staff (% of total),97.7,97.6,98.2,99,99,99.1,97.8,99.6,99.7,99.8,99.9,91.2,99.9,99.9,99.9,99.95,99.9,
Mali,MLI,Births attended by skilled health staff (% of total),,40.6,,,,,49,,,,28.1,,,58.6,,43.7,,
Malta,MLT,Births attended by skilled health staff (% of total),,99.9,99.5,99.5,99.9,99.7,98.8,99.8,99.9,99.8,99.8,99.8,99.5,99.9,99.9,99.8,99.8,
Myanmar,MMR,Births attended by skilled health staff (% of total),,57,,67.5,,,,63.9,,,70.6,,,,,,60.2,
Montenegro,MNE,Births attended by skilled health staff (% of total),99.1,99.5,99.7,99.7,99.6,99.9,87.2,100,99.9,99.5,,,,99,,,,
Mongolia,MNG,Births attended by skilled health staff (% of total),96.6,,,98.6,99.7,99.2,,,99.4,,98.4,,,98.3,98.9,,,
Northern Mariana Islands,MNP,Births attended by skilled health staff (% of total),99.6,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Births attended by skilled health staff (% of total),,,,47.7,,,,,55.3,,,54.3,,,,,,
Mauritania,MRT,Births attended by skilled health staff (% of total),,53.4,,,,,,57.1,,,,65.1,,,,69.3,,
Mauritius,MUS,Births attended by skilled health staff (% of total),99.7,,,98.4,,99.2,,,99.5,99.4,99.5,,99.5,,99.8,99.8,99.8,
Malawi,MWI,Births attended by skilled health staff (% of total),55.6,,60.5,,56.1,59,53.6,,68,,71.4,,,,87.4,,89.8,
Malaysia,MYS,Births attended by skilled health staff (% of total),96.6,96.8,97,97.6,98,98.1,98.4,98.6,98.6,98.6,98.6,98.59,98.7,98.8,98.9,99.4,,
Namibia,NAM,Births attended by skilled health staff (% of total),75.5,,,,,,,81.4,,,,,,88.2,,,,
New Caledonia,NCL,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Niger,NER,Births attended by skilled health staff (% of total),15.7,,,,,,17.7,,,,,,29.3,,,39.7,,
Nigeria,NGA,Births attended by skilled health staff (% of total),,,,35.2,,,,,34.4,,,47.3,,35.2,,,,40.3
Nicaragua,NIC,Births attended by skilled health staff (% of total),,66.9,,,,,,73.7,,,74,,88,,,,,
Netherlands,NLD,Births attended by skilled health staff (% of total),,,,100,,,,,,,,,,,,,,
Norway,NOR,Births attended by skilled health staff (% of total),99,99.1,99.1,99,99.1,99.2,99.2,99.1,99.2,99.2,99.1,99.2,99.2,99.1,99.1,99.1,99.1,
Nepal,NPL,Births attended by skilled health staff (% of total),11.9,10.9,,,15.8,,18.7,,,,,36,,,55.6,,58,
Nauru,NRU,Births attended by skilled health staff (% of total),,,,,,,,97.4,,,,,,,,,,
New Zealand,NZL,Births attended by skilled health staff (% of total),97.3,96.6,99.2,98.2,94,94,97.9,95.7,96.7,96.7,96.2,96.7,,,96.6,96.3,,
Oman,OMN,Births attended by skilled health staff (% of total),96.8,,,,,98,98,99,98.6,98.6,98.6,98.6,98.6,98.6,99.1,,,
Pakistan,PAK,Births attended by skilled health staff (% of total),,23,23,,,31,56,38.8,38,41,,43,51,52.1,,,,
Panama,PAN,Births attended by skilled health staff (% of total),90.5,92.1,94.2,92.5,91.3,91.1,91,91.5,91.8,88.6,92.7,93.5,94.3,91.4,93.9,95,94.6,
Peru,PER,Births attended by skilled health staff (% of total),59.3,,,,71.1,,71,,79.4,82.5,83.8,85,86.7,89.1,90,91.6,92.4,
Philippines,PHL,Births attended by skilled health staff (% of total),58,,,59.8,,,,,62.2,,,72.2,,72.8,,,,84.4
Palau,PLW,Births attended by skilled health staff (% of total),100,,100,,,,100,100,100,99.3,100,100,97.4,99.1,100,100,100,
Papua New Guinea,PNG,Births attended by skilled health staff (% of total),41,39,,,39,,53,,,,,,,,,,,
Poland,POL,Births attended by skilled health staff (% of total),99.8,99.8,99.8,99.8,99.8,99.9,99.4,99.4,99.4,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.8,
Puerto Rico,PRI,Births attended by skilled health staff (% of total),,,,,99.8,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,Births attended by skilled health staff (% of total),96.7,,,,97.1,,,,,100,,,,,,,,
Portugal,PRT,Births attended by skilled health staff (% of total),99.7,99.9,,,,,,,,,,,,99,98.9,98.9,,
Paraguay,PRY,Births attended by skilled health staff (% of total),,,85.8,85.9,77.2,87.5,90.5,,87.2,93.8,95.6,95.8,95.7,,96.4,96.3,95.5,
West Bank and Gaza,PSE,Births attended by skilled health staff (% of total),97.4,,,,98.3,97,96.6,,,,99,,,,99.6,,,
French Polynesia,PYF,Births attended by skilled health staff (% of total),99,,,,,,,,,,,,,,,,,
Qatar,QAT,Births attended by skilled health staff (% of total),100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,,
Romania,ROU,Births attended by skilled health staff (% of total),99,96.5,99.1,99.2,98.9,98.1,98.2,98.8,98.7,98.5,98.5,98.5,99.5,98.5,98.5,95.2,,
Russia,RUS,Births attended by skilled health staff (% of total),99.2,99.3,99.3,99.4,99.3,99.4,99.5,99.6,99.6,99.7,99.7,98.7,99.7,99.7,99.7,,,
Rwanda,RWA,Births attended by skilled health staff (% of total),31.3,,,,,38.6,,,52.1,,69,,,,,90.7,,
South Asia,SAS,Births attended by skilled health staff (% of total),36.31910122,,,,,,,,,,,,,,75.53733263,,,
Saudi Arabia,SAU,Births attended by skilled health staff (% of total),91,,,,96,96,96,97,97,97,97,,,98,,,,
Sudan,SDN,Births attended by skilled health staff (% of total),,,,,,,28.8,,,,72.4,,,,77.5,,,
Senegal,SEN,Births attended by skilled health staff (% of total),57.8,,58,,58,51.9,,,,,,65.1,,50.5,59.1,53.2,58.6,68.4
Singapore,SGP,Births attended by skilled health staff (% of total),99.7,99.6,99.7,99.7,99.7,99.7,99.7,99.7,99.8,99.7,99.7,99.7,99.7,99.6,99.7,99.6,99.6,
Solomon Islands,SLB,Births attended by skilled health staff (% of total),,,,,,,,85.5,,,,,,,,86.2,,
Sierra Leone,SLE,Births attended by skilled health staff (% of total),37.1,,,,,40,,,42.4,,60.8,,,59.7,,,,
El Salvador,SLV,Births attended by skilled health staff (% of total),,,,92.4,,87.2,89.6,93.1,95,97.5,98,99,99.5,99.8,97.7,99.9,99.9,
San Marino,SMR,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Somalia,SOM,Births attended by skilled health staff (% of total),,,24.8,,,,9.4,,,,,,,,,,,
Serbia,SRB,Births attended by skilled health staff (% of total),98,98.2,99.2,98.5,98.7,99.7,88.9,99.8,99.7,99.8,99.7,99,99,99.9,98.4,,,
South Sudan,SSD,Births attended by skilled health staff (% of total),,,,,,,9.7,,,,19.4,,,,,,,
Sao Tome and Principe,STP,Births attended by skilled health staff (% of total),78.6,,,76.4,,,80.7,,,81.7,,,,,92.5,,,
Suriname,SUR,Births attended by skilled health staff (% of total),61.6,,90,,90,,86.5,,,,90,,,,,80,,
Slovak Republic,SVK,Births attended by skilled health staff (% of total),100,99.4,99.4,99.5,99.5,99.5,99.5,99.2,99.5,99.5,99.2,99,99.5,98.6,98.5,,,
Slovenia,SVN,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,,,,,
Sweden,SWE,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Eswatini,SWZ,Births attended by skilled health staff (% of total),65.4,,74,,,,,69,,,82,,,,88.3,,,
Sint Maarten (Dutch part),SXM,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
Seychelles,SYC,Births attended by skilled health staff (% of total),99,,,,,99,99,100,100,99,99,99,99,,,,,
Syrian Arab Republic,SYR,Births attended by skilled health staff (% of total),,,,,89.7,,91.5,,,96.2,,,,,,,,
Turks and Caicos Islands,TCA,Births attended by skilled health staff (% of total),,,,,100,99.1,100,,,,,,,,,,,
Chad,TCD,Births attended by skilled health staff (% of total),13.7,,,,14.4,,,,,,16.6,,,,,20.2,,
Togo,TGO,Births attended by skilled health staff (% of total),35.4,,,60.8,,,52.4,,,,43.9,,,,44.6,,,
Thailand,THA,Births attended by skilled health staff (% of total),99.3,,,,,,96.9,,,99.4,,,99.6,,,,99.1,
Tajikistan,TJK,Births attended by skilled health staff (% of total),70.7,81.1,88.7,88.1,75.1,82.4,78.3,88.4,85,87.1,87.7,89,87.4,90.8,90.3,98,,94.8
Turkmenistan,TKM,Births attended by skilled health staff (% of total),97.2,,97.2,99.5,98.5,99.7,99.5,,,,,,,,,,100,
Timor-Leste,TLS,Births attended by skilled health staff (% of total),,,24,18.4,,,,,,,29.3,,,,,,56.7,
Tonga,TON,Births attended by skilled health staff (% of total),95,95.3,95.1,97,98,96.1,98,98,97,98.1,98.4,,95.5,,,,,
Trinidad and Tobago,TTO,Births attended by skilled health staff (% of total),96,99.5,98.7,99.7,99.7,,96.9,,99.5,,,98,100,100,100,100,,
Tunisia,TUN,Births attended by skilled health staff (% of total),89.9,89.9,,,,,94.6,,,,,,73.6,,,,,
Turkey,TUR,Births attended by skilled health staff (% of total),,,,83,,,,89.3,91.3,95,,,,97.4,97.4,,,
Tuvalu,TUV,Births attended by skilled health staff (% of total),100,,100,,,,,93.1,,,,,,,,,,
Tanzania,TZA,Births attended by skilled health staff (% of total),,,,,43.4,43.4,,,,,48.9,,61.4,,,,63.7,
Uganda,UGA,Births attended by skilled health staff (% of total),36,39,,,,,41.9,,,,,57.4,,,,,74.2,
Ukraine,UKR,Births attended by skilled health staff (% of total),99.9,99.9,99.9,99.9,99.9,99.8,99.9,98.7,99.9,99.9,99.9,99.9,99,99.9,99.9,,,
Uruguay,URY,Births attended by skilled health staff (% of total),99.7,99.6,99.7,99.7,99.5,99.9,99.9,98.6,99.6,99.7,99.8,99.5,99.5,98.2,99.9,,,
United States,USA,Births attended by skilled health staff (% of total),99.4,99.4,99.5,99.3,99.3,99.4,99.4,99.3,99.3,99.3,99.2,99.3,99.3,99.2,98.5,99.1,,
Uzbekistan,UZB,Births attended by skilled health staff (% of total),94.9,100,100,100,100,100,99.6,100,100,100,100,100,100,100,100,100,,
St. Vincent and the Grenadines,VCT,Births attended by skilled health staff (% of total),100,100,100,,100,100,,100,99.2,98.9,98.3,98.8,99.2,99,99,,,
"Venezuela, RB",VEN,Births attended by skilled health staff (% of total),94,,,95,,,,,,,,98.1,96,99.2,99.5,97.3,96.2,
